Pressure_kPa,Displacement_mm,Force_N,InternalEnergy_mJ
1.64125,-10,0.877676,5.83587
1.69125,-10,0.889899,6.02203
1.74125,-10,0.902303,6.2144
1.79125,-10,0.914889,6.41302
1.84125,-10,0.927658,6.61794
1.89125,-10,0.940611,6.82921
1.94125,-10,0.953749,7.04685
1.99125,-10,0.967074,7.27093
2,-10,0.969414,7.31081
2,-10,0.969414,7.31081
2.01,-10,0.972108,7.35662
2.02,-10,0.974809,7.4027
2.035,-10,0.978875,7.4723
2.0575,-10,0.985007,7.57781
2.09125,-10,0.994278,7.73855
2.14125,-10,1.00817,7.98218
2.19125,-10,1.02225,8.23243
2.24125,-10,1.03653,8.48934
2.29125,-10,1.05099,8.75295
2.34125,-10,1.06565,9.02332
2.39125,-10,1.0805,9.3005
2.44125,-10,1.09555,9.58453
2.49125,-10,1.1108,9.87547
2.54125,-10,1.12624,10.1734
2.59125,-10,1.14189,10.4783
2.64125,-10,1.15773,10.7902
2.69125,-10,1.17378,11.1093
2.74125,-10,1.19003,11.4356
2.79125,-10,1.20649,11.7691
2.84125,-10,1.22315,12.1099
2.89125,-10,1.24002,12.458
2.94125,-10,1.2571,12.8135
2.99125,-10,1.27439,13.1764
3,-10,1.27742,13.2407
3,-10,1.27742,13.2407
3.01,-10,1.28091,13.3145
3.02,-10,1.28441,13.3885
3.035,-10,1.28967,13.5002
3.0575,-10,1.29761,13.669
3.09125,-10,1.30959,13.925
3.14125,-10,1.32752,14.3107
3.19125,-10,1.34566,14.7041
3.24125,-10,1.36402,15.1052
3.29125,-10,1.38259,15.5142
3.30375,-10,1.38725,15.6177
3.30375,-10,1.38728,15.6183
0,-12.5,0.703226,4.53798
0.01,-12.5,0.704644,4.538
0.02,-12.5,0.706061,4.53821
0.035,-12.5,0.7082,4.53889
0.0575,-12.5,0.711434,4.5407
0.09125,-12.5,0.716341,4.54521
0.14125,-12.5,0.723734,4.55588
0.19125,-12.5,0.731271,4.57133
0.24125,-12.5,0.738954,4.59158
0.29125,-12.5,0.746786,4.61665
0.34125,-12.5,0.754766,4.64657
0.39125,-12.5,0.762896,4.68137
0.44125,-12.5,0.771177,4.72107
0.49125,-12.5,0.779608,4.76569
0.54125,-12.5,0.788192,4.81527
0.59125,-12.5,0.796928,4.86982
0.64125,-12.5,0.805817,4.92938
0.69125,-12.5,0.814861,4.99397
0.74125,-12.5,0.82406,5.06362
0.79125,-12.5,0.833414,5.13836
0.84125,-12.5,0.842925,5.21821
0.89125,-12.5,0.852593,5.30321
0.94125,-12.5,0.862419,5.39338
0.99125,-12.5,0.872404,5.48876
1,-12.5,0.874158,5.50598
1,-12.5,0.874158,5.50598
1.01,-12.5,0.87618,5.52587
1.02,-12.5,0.878208,5.54596
1.035,-12.5,0.881263,5.5765
1.0575,-12.5,0.885872,5.62319
1.09125,-12.5,0.892848,5.69523
1.14125,-12.5,0.903319,5.80639
1.19125,-12.5,0.91395,5.92288
1.24125,-12.5,0.924742,6.04472
1.29125,-12.5,0.935697,6.17195
1.34125,-12.5,0.946818,6.30461
1.39125,-12.5,0.958104,6.44271
1.44125,-12.5,0.969557,6.5863
1.49125,-12.5,0.981177,6.73541
1.54125,-12.5,0.992965,6.89007
1.59125,-12.5,1.00492,7.05032
1.64125,-12.5,1.01705,7.2162
1.69125,-12.5,1.02935,7.38773
1.74125,-12.5,1.04182,7.56496
1.79125,-12.5,1.05446,7.74791
1.84125,-12.5,1.06728,7.93664
1.89125,-12.5,1.08027,8.13117
1.94125,-12.5,1.09344,8.33154
1.99125,-12.5,1.10678,8.5378
2,-12.5,1.10912,8.5745
2,-12.5,1.10912,8.5745
2.01,-12.5,1.11182,8.61666
2.02,-12.5,1.11452,8.65907
2.035,-12.5,1.11859,8.72312
2.0575,-12.5,1.12473,8.82021
2.09125,-12.5,1.134,8.9681
2.14125,-12.5,1.14788,9.19223
2.19125,-12.5,1.16194,9.42241
2.24125,-12.5,1.17619,9.65866
2.29125,-12.5,1.19061,9.90103
2.34125,-12.5,1.20522,10.1496
2.39125,-12.5,1.22001,10.4043
2.44125,-12.5,1.23499,10.6653
2.49125,-12.5,1.25015,10.9326
2.54125,-12.5,1.26551,11.2062
2.59125,-12.5,1.28105,11.4862
2.64125,-12.5,1.29678,11.7727
2.69125,-12.5,1.31271,12.0656
2.74125,-12.5,1.32882,12.365
2.79125,-12.5,1.34513,12.671
2.84125,-12.5,1.36164,12.9837
2.89125,-12.5,1.37834,13.303
2.94125,-12.5,1.39523,13.629
2.99125,-12.5,1.41233,13.9618
3,-12.5,1.41532,14.0207
3,-12.5,1.41532,14.0207
3.01,-12.5,1.41877,14.0883
3.02,-12.5,1.42223,14.1562
3.035,-12.5,1.42743,14.2585
3.0575,-12.5,1.43527,14.4132
3.09125,-12.5,1.4471,14.6478
3.14125,-12.5,1.46481,15.0012
0,-15,0.832882,6.47498
0.01,-15,0.834366,6.47497
0.02,-15,0.835846,6.47514
0.035,-15,0.838081,6.47572
0.0575,-15,0.841458,6.47732
0.09125,-15,0.846575,6.4814
0.14125,-15,0.854276,6.49113
0.19125,-15,0.862112,6.50527
0.24125,-15,0.870089,6.52386
0.29125,-15,0.878206,6.5469
0.34125,-15,0.886465,6.57443
0.39125,-15,0.894867,6.60645
0.44125,-15,0.903412,6.64301
0.49125,-15,0.912101,6.6841
0.54125,-15,0.920934,6.72977
0.59125,-15,0.929913,6.78002
0.64125,-15,0.939038,6.83489
0.69125,-15,0.948309,6.8944
0.74125,-15,0.957728,6.95856
0.79125,-15,0.967295,7.02741
0.84125,-15,0.97701,7.10098
0.89125,-15,0.986876,7.17927
0.94125,-15,0.996891,7.26232
0.99125,-15,1.00706,7.35015
1,-15,1.00884,7.36602
1,-15,1.00884,7.36602
1.01,-15,1.0109,7.38433
1.02,-15,1.01296,7.40284
1.035,-15,1.01607,7.43095
1.0575,-15,1.02075,7.47395
1.09125,-15,1.02784,7.54028
1.14125,-15,1.03847,7.64262
1.19125,-15,1.04925,7.74985
1.24125,-15,1.06018,7.86199
1.29125,-15,1.07127,7.97908
1.34125,-15,1.08251,8.10113
1.39125,-15,1.09392,8.22819
1.44125,-15,1.10548,8.36027
1.49125,-15,1.11719,8.49741
1.54125,-15,1.12907,8.63963
1.59125,-15,1.14111,8.78697
1.64125,-15,1.15331,8.93945
1.69125,-15,1.16567,9.09711
1.74125,-15,1.17819,9.25997
1.79125,-15,1.19088,9.42807
1.84125,-15,1.20373,9.60144
1.89125,-15,1.21675,9.78011
1.94125,-15,1.22994,9.96411
1.99125,-15,1.24329,10.1535
2,-15,1.24563,10.1872
2,-15,1.24563,10.1872
2.01,-15,1.24833,10.2259
2.02,-15,1.25103,10.2648
2.035,-15,1.2551,10.3236
2.0575,-15,1.26123,10.4127
2.09125,-15,1.27049,10.5485
2.14125,-15,1.28435,10.7541
2.19125,-15,1.29838,10.9653
2.24125,-15,1.31258,11.182
2.29125,-15,1.32696,11.4043
2.34125,-15,1.3415,11.6322
2.39125,-15,1.35622,11.8657
