Pressure_kPa,Displacement_mm,Force_N,InternalEnergy_mJ
3.19125,-2.5,1.04107,18.6975
3.24125,-2.5,1.06132,19.3444
3.29125,-2.5,1.08188,20.0052
3.34125,-2.5,1.10277,20.68
3.39125,-2.5,1.12397,21.369
3.44125,-2.5,1.14549,22.0725
3.49125,-2.5,1.16734,22.7905
3.54125,-2.5,1.18951,23.5232
3.59125,-2.5,1.21201,24.2709
3.64125,-2.5,1.23485,25.0338
3.69125,-2.5,1.25802,25.8119
3.74125,-2.5,1.28152,26.6055
3.79125,-2.5,1.30537,27.4149
3.84125,-2.5,1.32956,28.2401
3.89125,-2.5,1.3541,29.0815
3.94125,-2.5,1.37899,29.9391
3.99125,-2.5,1.40422,30.8133
4,-2.5,1.40865,30.968
4,-2.5,1.40865,30.968
4.01,-2.5,1.41374,31.1453
4.02,-2.5,1.41888,31.3235
4.035,-2.5,1.42656,31.5919
4.0575,-2.5,1.43819,31.9974
4.09125,-2.5,1.45575,32.6122
4.14125,-2.5,1.48208,33.5374
4.19125,-2.5,1.50876,34.48
4.24125,-2.5,1.53581,35.4403
4.29125,-2.5,1.56322,36.4185
4.34125,-2.5,1.59102,37.4148
4.39125,-2.5,1.61919,38.4296
4.44125,-2.5,1.64774,39.4631
4.49125,-2.5,1.67667,40.5155
4.54125,-2.5,1.706,41.5872
4.59125,-2.5,1.73571,42.6784
4.64125,-2.5,1.76582,43.7893
4.69125,-2.5,1.79633,44.9204
4.74125,-2.5,1.82725,46.0718
4.79125,-2.5,1.85857,47.2439
4.84125,-2.5,1.8903,48.437
4.89125,-2.5,1.92244,49.6514
4.94125,-2.5,1.95501,50.8874
4.99125,-2.5,1.98799,52.1455
5,-2.5,1.99376,52.3677
5,-2.5,1.99376,52.3677
5.01,-2.5,2.00039,52.6226
5.02,-2.5,2.00714,52.8787
5.035,-2.5,2.01713,53.2644
5.0575,-2.5,2.03232,53.8467
5.09125,-2.5,2.05521,54.7288
5.14125,-2.5,2.08953,56.055
5.19125,-2.5,2.12424,57.4045
5.24125,-2.5,2.15941,58.7778
5.29125,-2.5,2.19502,60.1753
5.34125,-2.5,2.23108,61.5974
5.39125,-2.5,2.2676,63.0445
5.44125,-2.5,2.30458,64.517
5.49125,-2.5,2.34203,66.0153
5.54125,-2.5,2.37995,67.54
5.59125,-2.5,2.41835,69.0914
5.64125,-2.5,2.45723,70.6701
5.69125,-2.5,2.49659,72.2765
5.74125,-2.5,2.53645,73.9111
5.79125,-2.5,2.5768,75.5744
5.84125,-2.5,2.61766,77.267
0,-5,0.58077,1.49883
0.01,-5,0.581748,1.49894
0.02,-5,0.582732,1.49932
0.035,-5,0.584223,1.50042
0.0575,-5,0.586492,1.50323
0.09125,-5,0.589971,1.51009
0.14125,-5,0.59529,1.5261
0.19125,-5,0.600806,1.54916
0.24125,-5,0.606519,1.5793
0.29125,-5,0.612433,1.6166
0.34125,-5,0.618547,1.66111
0.39125,-5,0.624865,1.71288
0.44125,-5,0.631385,1.77198
0.49125,-5,0.638111,1.83846
0.54125,-5,0.645043,1.91239
0.59125,-5,0.652183,1.99383
0.64125,-5,0.659532,2.08284
0.69125,-5,0.667091,2.17948
0.74125,-5,0.674862,2.28383
0.79125,-5,0.682845,2.39593
0.84125,-5,0.691043,2.51586
0.89125,-5,0.699457,2.64369
0.94125,-5,0.708088,2.77949
0.99125,-5,0.716937,2.92332
1,-5,0.718502,2.94932
1,-5,0.718502,2.94932
1.01,-5,0.720307,2.97934
1.02,-5,0.722119,3.00968
1.035,-5,0.724854,3.05581
1.0575,-5,0.728996,3.12638
1.09125,-5,0.735293,3.23536
1.14125,-5,0.74481,3.40371
1.19125,-5,0.75455,3.58038
1.24125,-5,0.764513,3.76545
1.29125,-5,0.774705,3.95899
1.34125,-5,0.785125,4.16107
1.39125,-5,0.795775,4.37178
1.44125,-5,0.806658,4.59119
1.49125,-5,0.817774,4.81938
1.54125,-5,0.829125,5.05644
1.59125,-5,0.840713,5.30244
1.64125,-5,0.852539,5.55747
1.69125,-5,0.864605,5.82162
1.74125,-5,0.876913,6.09497
1.79125,-5,0.889464,6.37761
1.84125,-5,0.90226,6.66962
1.89125,-5,0.915302,6.97111
1.94125,-5,0.928593,7.28215
1.99125,-5,0.942134,7.60285
2,-5,0.944518,7.65997
2,-5,0.944518,7.65997
2.01,-5,0.947266,7.72561
2.02,-5,0.950024,7.79166
2.035,-5,0.954175,7.89145
2.0575,-5,0.960454,8.0428
2.09125,-5,0.969966,8.27359
2.14125,-5,0.984274,8.62383
2.19125,-5,0.998836,8.98411
2.24125,-5,1.01365,9.35453
2.29125,-5,1.02873,9.7352
2.34125,-5,1.04408,10.1262
2.39125,-5,1.05968,10.5277
2.44125,-5,1.07556,10.9397
2.49125,-5,1.0917,11.3625
2.54125,-5,1.10812,11.796
2.59125,-5,1.1248,12.2404
2.64125,-5,1.14176,12.6958
2.69125,-5,1.159,13.1623
2.74125,-5,1.17652,13.6402
2.79125,-5,1.19432,14.1293
2.84125,-5,1.2124,14.63
2.89125,-5,1.23077,15.1423
