Pressure_kPa,Displacement_mm,Force_N,InternalEnergy_mJ
2.39125,-2.5,0.620284,9.82706
2.44125,-2.5,0.635817,10.2559
2.49125,-2.5,0.651563,10.695
2.54125,-2.5,0.667524,11.1445
2.59125,-2.5,0.683702,11.6043
2.64125,-2.5,0.700099,12.0746
2.69125,-2.5,0.716717,12.5554
2.74125,-2.5,0.733559,13.0469
2.79125,-2.5,0.750625,13.5491
2.84125,-2.5,0.76792,14.062
2.89125,-2.5,0.785443,14.5859
2.94125,-2.5,0.803199,15.1207
2.99125,-2.5,0.821188,15.6666
3,-2.5,0.82435,15.7633
3,-2.5,0.82435,15.7633
3.01,-2.5,0.827993,15.8742
3.02,-2.5,0.83163,15.9855
3.035,-2.5,0.837115,16.1534
3.0575,-2.5,0.84538,16.4071
3.09125,-2.5,0.857872,16.7919
3.14125,-2.5,0.87658,17.3716
3.19125,-2.5,0.895528,17.9626
3.24125,-2.5,0.91472,18.5652
3.29125,-2.5,0.93416,19.1793
3.34125,-2.5,0.95385,19.8052
3.39125,-2.5,0.973792,20.443
3.44125,-2.5,0.993988,21.0926
3.49125,-2.5,1.01444,21.7543
3.54125,-2.5,1.03515,22.4282
3.59125,-2.5,1.05613,23.1143
3.64125,-2.5,1.07737,23.8127
3.69125,-2.5,1.09888,24.5237
3.74125,-2.5,1.12065,25.2472
3.79125,-2.5,1.1427,25.9835
3.84125,-2.5,1.16502,26.7326
3.89125,-2.5,1.18763,27.4947
3.94125,-2.5,1.21051,28.2698
3.99125,-2.5,1.23367,29.0582
4,-2.5,1.23774,29.1975
4,-2.5,1.23774,29.1975
4.01,-2.5,1.24244,29.3572
4.02,-2.5,1.24711,29.5175
4.035,-2.5,1.25416,29.7589
4.0575,-2.5,1.26479,30.1233
4.09125,-2.5,1.28086,30.6751
4.14125,-2.5,1.30489,31.5039
4.19125,-2.5,1.32922,32.3465
4.24125,-2.5,1.35385,33.203
4.29125,-2.5,1.37877,34.0735
4.34125,-2.5,1.404,34.9583
4.39125,-2.5,1.42954,35.8573
4.44125,-2.5,1.45538,36.7709
4.49125,-2.5,1.48154,37.6991
4.54125,-2.5,1.50802,38.6422
4.59125,-2.5,1.53481,39.6002
4.64125,-2.5,1.56193,40.5734
4.69125,-2.5,1.58938,41.5619
4.74125,-2.5,1.61715,42.5659
4.79125,-2.5,1.64526,43.5856
4.84125,-2.5,1.67371,44.6211
4.89125,-2.5,1.7025,45.6727
4.94125,-2.5,1.73163,46.7405
4.99125,-2.5,1.76111,47.8248
5,-2.5,1.76627,48.0162
5,-2.5,1.76627,48.0162
5.01,-2.5,1.77227,48.2356
5.02,-2.5,1.77819,48.4557
5.02375,-2.5,1.78044,48.5384
5.02375,-2.5,1.78045,48.5389
0,-5,0.17287,0.449107
0.01,-5,0.174492,0.449249
0.02,-5,0.17612,0.449696
0.035,-5,0.17857,0.45094
0.0575,-5,0.182267,0.454095
0.09125,-5,0.187859,0.461731
0.14125,-5,0.19625,0.479462
0.19125,-5,0.204768,0.504871
0.24125,-5,0.213414,0.537978
0.29125,-5,0.222191,0.578804
0.34125,-5,0.231099,0.627369
0.39125,-5,0.24014,0.683696
0.44125,-5,0.249315,0.747807
0.49125,-5,0.258626,0.819727
0.54125,-5,0.268074,0.899479
0.59125,-5,0.277661,0.98709
0.64125,-5,0.287388,1.08259
0.69125,-5,0.297257,1.18599
0.74125,-5,0.307268,1.29734
0.79125,-5,0.317425,1.41665
0.84125,-5,0.327727,1.54397
0.89125,-5,0.338177,1.67931
0.94125,-5,0.348775,1.82271
0.99125,-5,0.359525,1.97421
1,-5,0.36142,2.00155
1,-5,0.36142,2.00155
1.01,-5,0.363593,2.03311
1.02,-5,0.365772,2.06499
1.035,-5,0.369053,2.11343
1.0575,-5,0.374,2.18746
1.09125,-5,0.381479,2.30161
1.14125,-5,0.39269,2.47759
1.19125,-5,0.404056,2.66179
1.24125,-5,0.415581,2.85427
1.29125,-5,0.427265,3.05505
1.34125,-5,0.43911,3.26417
1.39125,-5,0.451118,3.48168
1.44125,-5,0.46329,3.70761
1.49125,-5,0.475628,3.94201
1.54125,-5,0.488133,4.18492
1.59125,-5,0.500808,4.43637
1.64125,-5,0.513653,4.69642
1.69125,-5,0.526671,4.96511
1.74125,-5,0.539862,5.24248
1.79125,-5,0.553229,5.52859
1.84125,-5,0.566773,5.82348
1.89125,-5,0.580496,6.1272
1.94125,-5,0.5944,6.4398
1.99125,-5,0.608485,6.76133
2,-5,0.610964,6.81851
2,-5,0.610964,6.81851
2.01,-5,0.613813,6.88421
2.02,-5,0.616664,6.95027
2.035,-5,0.620957,7.05003
2.0575,-5,0.627429,7.2012
2.09125,-5,0.637208,7.43139
2.14125,-5,0.651852,7.78004
2.19125,-5,0.666684,8.13783
2.24125,-5,0.681707,8.50482
2.29125,-5,0.696922,8.88106
2.34125,-5,0.712332,9.26663
2.39125,-5,0.727938,9.66158
2.44125,-5,0.743741,10.066
2.49125,-5,0.759745,10.4798
2.54125,-5,0.77595,10.9033
2.59125,-5,0.792359,11.3364
2.64125,-5,0.808973,11.7791
2.69125,-5,0.825794,12.2317
2.74125,-5,0.842824,12.694
2.79125,-5,0.860066,13.1663
2.84125,-5,0.877521,13.6485
2.89125,-5,0.89519,14.1408
2.94125,-5,0.913077,14.6432
2.99125,-5,0.931183,15.1557
3,-5,0.934364,15.2465
3,-5,0.934364,15.2465
3.01,-5,0.938029,15.3506
3.01,-5,0.938036,15.3511
0,-7.5,0.246189,0.975904
0.01,-7.5,0.247962,0.976029
0.02,-7.5,0.249738,0.976448
0.035,-7.5,0.252412,0.977627
0.0575,-7.5,0.256442,0.980636
0.09125,-7.5,0.26253,0.987942
0.14125,-7.5,0.271649,1.00493
0.19125,-7.5,0.280887,1.02929
0.24125,-7.5,0.290245,1.06104
0.29125,-7.5,0.299724,1.10018
0.34125,-7.5,0.309327,1.14673
0.39125,-7.5,0.319053,1.20072
0.44125,-7.5,0.328905,1.26214
0.49125,-7.5,0.338884,1.33102
0.54125,-7.5,0.348991,1.40738
0.59125,-7.5,0.359228,1.49124
0.64125,-7.5,0.369595,1.5826
0.69125,-7.5,0.380095,1.6815
0.74125,-7.5,0.390729,1.78796
0.79125,-7.5,0.401498,1.90199
0.84125,-7.5,0.412404,2.02361
0.89125,-7.5,0.423448,2.15286
0.94125,-7.5,0.434631,2.28975
0.99125,-7.5,0.445955,2.43431
1,-7.5,0.44795,2.4604
1,-7.5,0.44795,2.4604
1.01,-7.5,0.450237,2.4905
1.02,-7.5,0.452529,2.52092
1.035,-7.5,0.455979,2.56711
1.0575,-7.5,0.461177,2.63771
1.09125,-7.5,0.46903,2.74654
1.14125,-7.5,0.480786,2.91427
1.19125,-7.5,0.492687,3.08977
1.24125,-7.5,0.504736,3.27308
1.29125,-7.5,0.516935,3.46422
1.34125,-7.5,0.529285,3.66323
1.39125,-7.5,0.541787,3.87013
1.44125,-7.5,0.554443,4.08496
1.49125,-7.5,0.567254,4.30776
1.54125,-7.5,0.580221,4.53855
1.59125,-7.5,0.593347,4.77737
1.64125,-7.5,0.606633,5.02425
1.69125,-7.5,0.62008,5.27924
1.74125,-7.5,0.63369,5.54237
1.79125,-7.5,0.647464,5.81368
1.84125,-7.5,0.661404,6.09321
1.89125,-7.5,0.675511,6.38099
1.94125,-7.5,0.689787,6.67707
1.99125,-7.5,0.704234,6.98149
2,-7.5,0.706776,7.03562
2,-7.5,0.706776,7.03562
2.01,-7.5,0.709695,7.0978
2.02,-7.5,0.712615,7.16032
2.035,-7.5,0.717013,7.25472
2.0575,-7.5,0.723638,7.39776
2.09125,-7.5,0.733643,7.61552
2.14125,-7.5,0.748612,7.94522
2.19125,-7.5,0.763757,8.28344
2.24125,-7.5,0.779081,8.63022
2.29125,-7.5,0.794584,8.98561
2.34125,-7.5,0.810269,9.34966
2.39125,-7.5,0.826137,9.72242
2.44125,-7.5,0.842191,10.1039
2.49125,-7.5,0.858431,10.4943
2.54125,-7.5,0.87486,10.8935
2.59125,-7.5,0.891479,11.3016
2.64125,-7.5,0.90829,11.7186
2.69125,-7.5,0.925295,12.1447
2.74125,-7.5,0.942495,12.5799
2.79125,-7.5,0.959892,13.0243
